商品编码,疾病分类统一,工业采购价,客户采购价格,建议零售价,工业毛利额,客户毛利额,客户毛利率,品牌名称_京鸿阁,品牌名称_其他,品牌名称_小葫芦宝,品牌名称_蜀汉本草,品牌名称_驰铭,医保类型_乙类,医保类型_医保,医保类型_甲类,医保类型_非医保
7064428496982376448,中药饮片,0.197735392449655,0.1870235683920935,0.1443872834941977,0.140629309832852,0.1013548659994129,-0.8989153985361585,True,False,False,False,False,False,True,False,False
7066294268612050944,中药饮片,-0.1791710206422677,-0.2010458535309523,-0.2443882169056515,-0.2416322986324257,-0.2847999436117629,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7065149434585415680,中药饮片,-0.0825283506186978,-0.1069245385123031,-0.1507941149575396,-0.1630853927833961,-0.1925203016090922,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7067741978012155904,中药饮片,-0.1646746201387322,-0.1894616916825032,-0.2299891242982497,-0.2390140684374581,-0.2677637020112698,-0.8580849815321919,True,False,False,False,False,False,True,False,False
7067738492037758977,中药饮片,-0.0873604841198763,-0.085204235046461,-0.1291954760464369,-0.0714473359595281,-0.1712249996084759,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7067741231803006976,中药饮片,-0.1936674211458032,-0.2169740760725699,-0.2602272187737935,-0.2599599099971994,-0.3004164984122149,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7067738287590604800,中药饮片,-0.2081638216493387,-0.2169740760725699,-0.2602272187737935,-0.2206864570726845,-0.3004164984122149,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7066974262992568320,中药饮片,0.1832389919461195,0.1537191030778023,0.1083895519756932,0.0594641737888546,0.0630233223983035,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7067738750670864384,中药饮片,-0.1984995546469817,-0.218422096303626,-0.2602272187737935,-0.2521052194122964,-0.2989968116121738,-0.8839504040686418,True,False,False,False,False,False,True,False,False
7067741787213004800,中药饮片,-0.0535355496116268,-0.0779641338911803,-0.1162362926997753,-0.1369030908337195,-0.1527690712079417,-0.8405882801817034,True,False,False,False,False,False,True,False,False
7067741046834724864,中药饮片,-0.1646746201387322,-0.1793255500651102,-0.2227895779945488,-0.2023588457079109,-0.2635046416111465,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7067741427152977920,中药饮片,-0.1646746201387322,-0.1720854489098295,-0.2155900316908478,-0.1761765437582343,-0.2564062076109411,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7067741603095379968,中药饮片,0.101092722426085,0.0740779903697145,0.036394088938684,-0.0059915810853367,-0.0008625836035453,-0.8532529795198881,True,False,False,False,False,False,False,False,True
7068769777476435968,中药饮片,-0.3086721984738514,-0.319783512477556,-0.3610208670256062,-0.3201792044814555,-0.3983748876150499,-0.8311638274636417,True,False,False,False,False,False,True,False,False
7068770442185801728,中药饮片,-0.1840031541434462,-0.1894616916825032,-0.2299891242982497,-0.186649464538105,-0.2677637020112698,-0.8580849815321919,True,False,False,False,False,False,True,False,False
7068770671018901504,中药饮片,0.3523636644873669,0.3130013284939779,0.2739791169608142,0.1772845325623991,0.233385738403234,-0.8760324175778921,True,False,False,False,False,False,True,False,False
7068770195371720704,中药饮片,-0.1260175521293043,-0.1503651454439874,-0.1939913927797451,-0.2023588457079109,-0.2351109056103248,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7070314790198968320,中药饮片,-0.0921926176210548,-0.1170606801296961,-0.1579936612612405,-0.1735583135632667,-0.1967793620092154,-0.8746155147321784,True,False,False,False,False,False,True,False,False
7070307483411283968,中药饮片,-0.1115211516257688,-0.135884943133426,-0.1795923001723433,-0.1892676947330726,-0.2209140376099139,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7068769995282972672,中药饮片,0.207399659452012,0.1754394065436444,0.1299881908867959,0.0725553247636929,0.0843186243989198,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7070307187775504384,中药饮片,-0.0535355496116268,-0.1141646396675838,-0.1579936612612405,-0.2678146005821023,-0.1996187356092976,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7070315078947962880,中药饮片,0.139749790435513,0.1175185973013988,0.0723918204571886,0.0463730228140163,0.0275311523972763,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7073895852825640960,中药饮片,-0.2854779576681947,-0.3053033101669945,-0.3466217744182044,-0.3306521252613261,-0.384178019614639,-0.8463735190277945,True,False,False,False,False,False,True,False,False
7072827331966402560,中药饮片,0.0025171990020436,-0.0272834258042153,-0.0715991056168296,-0.1054843284941076,-0.1144375276068323,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7072827894111666176,中药饮片,0.7679271455887177,0.7112068920344169,0.6627546173606635,0.4914721559585179,0.6096027404141222,-0.9209010076921414,True,False,False,False,False,False,True,False,False
7073897817219006464,中药饮片,-0.2410223294573525,-0.2618627032353103,-0.3034244965959989,-0.2939969025317789,-0.3415874156134064,-0.8714951444202708,True,False,False,False,False,False,True,False,False
7072085464677089280,中药饮片,-0.2129959551505172,-0.2329022986141874,-0.2731864021204552,-0.2651963703871347,-0.3103543060125024,-0.8409533380340241,True,False,False,False,False,False,True,False,False
